,year_dT,year_dP,DecFeb_dT,DecFeb_dP,MarMay_dT,MarMay_dP,JunAug_dT,JunAug_dP,SepNov_dT,SepNov_dP,year_dP_var,DecFeb_dP_var,MarMay_dP_var,JunAug_dP_var,SepNov_dP_var
canesm5_canoe_ssp370_2081,,,,,,,,,,,,,,,
canesm5_canoe_ssp585_2081,,,,,,,,,,,,,,,
cesm2_ssp126_2021,2.0323486328125,2.102339267730713,2.073394775390625,13.821065425872803,2.03704833984375,9.408211708068848,2.193572998046875,-9.16857123374939,1.825286865234375,-2.2777915000915527,-2.607325524213211,5.329313516520995,1.0250799615925565,3.265824659867378,2.691629450847133
cesm2_ssp245_2021,1.485260009765625,2.601921558380127,1.34161376953125,1.5684247016906738,1.0718994140625,8.841121196746826,1.965057373046875,0.6160140037536621,1.562408447265625,0.994420051574707,7.6348296383757175,1.3184197100924333,1.1792467489070813,10.753143723310066,6.057816673010885
cesm2_ssp370_2021,1.59930419921875,-1.8679618835449219,1.64056396484375,8.75931978225708,1.815277099609375,2.644014358520508,1.788238525390625,-9.126019477844238,1.153045654296875,-7.3713719844818115,6.6905631366474205,0.04463149643874065,2.2491242374349296,6.870443801658888,12.344399728037558
cesm2_ssp585_2021,2.364044189453125,2.917039394378662,2.46136474609375,15.60676097869873,2.741546630859375,8.798491954803467,2.50042724609375,-10.698586702346802,1.75274658203125,1.157987117767334,-1.3599878115530761,0.09055706470415537,10.766815679997578,4.469702036212775,5.360190457853453
cesm2_ssp126_2041,2.170440673828125,8.229541778564453,2.397430419921875,18.32979917526245,2.092041015625,15.752148628234863,2.633087158203125,-5.042046308517456,1.558868408203125,7.2667717933654785,3.0655932567628996,-5.6208577761663765,5.142757089144623,7.250188911241473,4.922631102676811
cesm2_ssp245_2041,2.56011962890625,5.241096019744873,2.512725830078125,20.825064182281494,2.6473388671875,19.268906116485596,2.97552490234375,-10.539263486862183,2.104827880859375,-2.957594394683838,-3.9721864437728183,0.040144134654229724,-1.9159102854415688,1.6779407348497477,2.6557556774569058
cesm2_ssp370_2041,2.078582763671875,0.8168339729309082,2.187103271484375,16.974234580993652,1.880126953125,10.793638229370117,2.214019775390625,-16.760754585266113,2.032867431640625,-3.0183255672454834,1.8316728989725028,0.39645167510118373,7.366687684745132,8.094713299860402,5.8169579745921185
cesm2_ssp585_2041,2.902374267578125,2.016758918762207,2.981658935546875,19.891047477722168,2.925048828125,10.724794864654541,3.37200927734375,-19.908177852630615,2.330657958984375,2.0986199378967285,-1.116788893268783,-3.7434507578771203,2.041736353118173,8.476816035476986,4.810091991564347
cesm2_ssp126_2081,1.869720458984375,3.08455228805542,1.447052001953125,17.075836658477783,1.527313232421875,4.349851608276367,2.663330078125,-10.146409273147583,1.841064453125,3.1574487686157227,3.6705613419432126,-2.2079988732106592,5.4224728048048565,6.722474491463548,5.588622726128212
cesm2_ssp245_2081,2.873046875,7.075631618499756,2.391998291015625,24.913203716278076,3.131988525390625,20.76890468597412,3.295379638671875,-4.174250364303589,2.672576904296875,-7.683032751083374,3.8285904915560387,2.017637000076933,-2.7558398211343538,7.692273721623,17.15498669079136
cesm2_ssp370_2081,4.0938720703125,6.598401069641113,3.76751708984375,32.61117935180664,3.340240478515625,21.29952907562256,5.556060791015625,-28.17744016647339,3.711700439453125,8.212721347808838,-0.5864597792365367,-1.056823968884879,11.019792437791631,10.567997140022367,5.716990247094023
cesm2_ssp585_2081,5.73956298828125,8.698630332946777,5.563323974609375,45.771026611328125,5.07733154296875,21.4341402053833,6.88189697265625,-32.647109031677246,5.435546875,8.503615856170654,4.33729840751953,2.8679994324906977,16.62233201415948,14.061061374255623,6.351302679482718
cesm2_fv2_ssp126_2021,,,,,,,,,,,,,,,
cesm2_fv2_ssp245_2021,,,,,,,,,,,,,,,
cesm2_fv2_ssp370_2021,,,,,,,,,,,,,,,
cesm2_fv2_ssp585_2021,,,,,,,,,,,,,,,
cesm2_fv2_ssp126_2041,,,,,,,,,,,,,,,
cesm2_fv2_ssp245_2041,,,,,,,,,,,,,,,
cesm2_fv2_ssp370_2041,,,,,,,,,,,,,,,
cesm2_fv2_ssp585_2041,,,,,,,,,,,,,,,
cesm2_fv2_ssp126_2081,,,,,,,,,,,,,,,
cesm2_fv2_ssp245_2081,,,,,,,,,,,,,,,
cesm2_fv2_ssp370_2081,,,,,,,,,,,,,,,
cesm2_fv2_ssp585_2081,,,,,,,,,,,,,,,
cesm2_waccm_ssp126_2021,,,,,,,,,,,,,,,
cesm2_waccm_ssp245_2021,,,,,,,,,,,,,,,
cesm2_waccm_ssp370_2021,2.01434326171875,6.086468696594238,2.648834228515625,11.144793033599854,1.771514892578125,17.307555675506592,1.802032470703125,-8.523374795913696,1.835113525390625,8.149564266204834,-1.7471233008713005,-4.527441034834478,-7.98262953785841,-1.0415036206996464,1.9931463586864817
cesm2_waccm_ssp585_2021,2.0068359375,9.358441829681396,2.284759521484375,14.681470394134521,1.64190673828125,15.721917152404785,2.057708740234375,-5.43370246887207,2.042816162109375,15.03293514251709,3.5763066565016155,-5.710910043160167,-1.731427729955659,9.39333407449865,4.2991375811697985
cesm2_waccm_ssp126_2041,,,,,,,,,,,,,,,
cesm2_waccm_ssp245_2041,,,,,,,,,,,,,,,
cesm2_waccm_ssp370_2041,2.95550537109375,6.082642078399658,2.95770263671875,13.769984245300293,3.2611083984375,14.002418518066406,2.752532958984375,-9.778594970703125,2.8507080078125,9.501087665557861,1.4853049021697817,-2.0421953869778853,-5.024098917348652,2.7010134574446676,-5.196424648751097
